model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
global_drift,capacity_ratio,2,stress2:column:04,6,6,6,0,OK,0.033846039682539575,0.035668026925239363,0.020602333333999998,1.6428255544571502,0.060574999999999969,0.55874601209310093,0.44125398790689907,OK
global_drift,capacity_ratio,2,stress2:column:05,6,6,6,0,OK,0.030767210323825362,0.031667490473667972,0.020978,1.4666417353334618,0.05566888889499997,0.55268231384781219,0.44731768615218781,OK
global_drift,capacity_ratio,2,stress2:column:06,6,6,6,0,OK,0.033684047619047551,0.037253201955956362,0.020729333334,1.62494601617503,0.056716666666666637,0.5939003400361017,0.4060996599638983,OK
global_drift,capacity_ratio,3,stress2:column:01,5,5,5,0,OK,0.042431571428571437,0.042679829204418901,0.021647333333999999,1.9601292581348597,0.071510000000000004,0.59336556325788614,0.40663443674211386,OK
global_drift,capacity_ratio,3,stress2:column:02,5,5,5,0,OK,0.050131571428571366,0.05021339315707446,0.020801333333999996,2.410017214936448,0.087703999999999976,0.57159960125617282,0.42840039874382718,OK
global_drift,capacity_ratio,3,stress2:column:03,5,5,5,0,OK,0.04840657142857141,0.048520378857649017,0.020928333333999995,2.3129682930809641,0.085128000000000009,0.56863278155919794,0.43136721844080206,OK
global_drift,capacity_ratio,3,stress2:column:04,5,5,5,0,OK,0.052668371428571392,0.053621065547078392,0.020602333333999998,2.5564274965716072,0.089717999999999964,0.58704353004493426,0.41295646995506574,OK
global_drift,capacity_ratio,3,stress2:column:05,5,5,5,0,OK,0.04750989525438569,0.047771127075932777,0.020978,2.2647485582222182,0.082098666679999988,0.57869265331150077,0.42130734668849923,OK
global_drift,capacity_ratio,3,stress2:column:06,5,5,5,0,OK,0.049491285714285717,0.052811777985403888,0.020729333334,2.3875001147823078,0.081439999999999999,0.6077024277294415,0.3922975722705585,OK
global_drift,esr_ratio,1,stress2:column:01,7,7,7,0,OK,0.031418373015872962,0.034466625917362721,0.052256633334000005,0.60123224577177392,0.041235714285714299,0.76192139653944457,0.23807860346055543,OK
global_drift,esr_ratio,1,stress2:column:02,7,7,7,0,OK,0.031702093537415009,0.034738335148572948,0.052756633334000005,0.60091199028395914,0.037514285714285736,0.845067230624162,0.154932769375838,OK
global_drift,esr_ratio,1,stress2:column:03,7,7,7,0,OK,0.031799716553287984,0.035639193432215895,0.052486833334000005,0.60586083277172509,0.039077142857142873,0.81376769713027641,0.18623230286972359,OK
global_drift,esr_ratio,1,stress2:column:04,7,7,7,0,OK,0.03226653458049885,0.034567705682363871,0.052305033334000009,0.61689157856868304,0.040078571428571408,0.80508195353231893,0.19491804646768107,OK
global_drift,esr_ratio,1,stress2:column:05,7,7,7,0,OK,0.031154133136337889,0.033467669544538663,0.05245940000000001,0.59387132022741174,0.03952857142857142,0.78814214656438475,0.21185785343561525,OK
global_drift,esr_ratio,1,stress2:column:06,7,7,7,0,OK,0.030741312358276675,0.036246189927484997,0.052558633334000002,0.58489558057800994,0.038794285714285684,0.79241856866967486,0.20758143133032514,OK
global_drift,esr_ratio,2,stress2:column:01,6,6,6,0,OK,0.054769722222222129,0.06144236663027898,0.052256633334000005,1.0480912896198198,0.086008333333333353,0.63679553014888612,0.36320446985111388,OK
global_drift,esr_ratio,2,stress2:column:02,6,6,6,0,OK,0.059039170634920701,0.066206782121539395,0.052756633334000005,1.119085258173057,0.075733333333333361,0.77956651366532592,0.22043348633467408,OK
global_drift,esr_ratio,2,stress2:column:03,6,6,6,0,OK,0.058175476190476139,0.062660213388056107,0.052486833334000005,1.1083822836153299,0.080150000000000013,0.72583251641267788,0.27416748358732212,OK
global_drift,esr_ratio,2,stress2:column:04,6,6,6,0,OK,0.05045940079365082,0.060477386507421488,0.052305033334000009,0.96471405479155925,0.085324999999999984,0.59137885489189368,0.40862114510810632,OK
global_drift,esr_ratio,2,stress2:column:05,6,6,6,0,OK,0.055774414683730122,0.062531678967918655,0.05245940000000001,1.0631920053170665,0.081955,0.68054926098139368,0.31945073901860632,OK
global_drift,esr_ratio,2,stress2:column:06,6,6,6,0,OK,0.060686765873015802,0.068637567317623285,0.052558633334000002,1.1546488563993489,0.080043333333333286,0.7581738958857599,0.2418261041142401,OK
global_drift,esr_ratio,3,stress2:column:01,5,5,5,0,OK,0.079387999999999972,0.080693722928118716,0.052256633334000005,1.5191946923290855,0.13528999999999999,0.58679872865695892,0.41320127134304108,OK
global_drift,esr_ratio,3,stress2:column:02,5,5,5,0,OK,0.084880257142857157,0.091401906440194358,0.052756633334000005,1.6089020807200463,0.12172000000000001,0.69734026571522467,0.30265973428477533,OK
global_drift,esr_ratio,3,stress2:column:03,5,5,5,0,OK,0.083495857142857094,0.086795188807341356,0.052486833334000005,1.5907962404881839,0.12832000000000005,0.6506846722479509,0.3493153277520491,OK
global_drift,esr_ratio,3,stress2:column:04,5,5,5,0,OK,0.070132171428571505,0.078266179940205766,0.052305033334000009,1.3408302596947828,0.13685999999999998,0.51243731863635478,0.48756268136364522,OK
