model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
local_linear,capacity_ratio,1,stress2:column:04,8,8,8,0,OK,0.010282083333333386,0.01270839087418674,0.020602333333999998,0.49907372949669154,0.026016249999999977,0.39521773250692915,0.60478226749307085,OK
local_linear,capacity_ratio,1,stress2:column:05,8,8,8,0,OK,0.0084332638991667097,0.01069727569814141,0.020978,0.4020051434439274,0.024040416671249967,0.35079524679171159,0.64920475320828841,OK
local_linear,capacity_ratio,1,stress2:column:06,8,8,8,0,OK,0.0094274999999999637,0.012185468349180779,0.020729333334,0.45479031322908453,0.025612499999999969,0.36808199121522595,0.631918008784774,OK
local_linear,capacity_ratio,2,stress2:column:01,7,7,7,0,OK,0.01063714285714279,0.013452053481054198,0.021647333333999999,0.49138352022490228,0.04352285714285712,0.24440359745289689,0.75559640254710314,OK
local_linear,capacity_ratio,2,stress2:column:02,7,7,7,0,OK,0.01530428571428569,0.018236916641017731,0.020801333333999996,0.73573580445781694,0.053278571428571411,0.28725030164901427,0.71274969835098578,OK
local_linear,capacity_ratio,2,stress2:column:03,7,7,7,0,OK,0.014651428571428442,0.020025695636214067,0.020928333333999995,0.7000762238255186,0.051874285714285713,0.2824410663141636,0.71755893368583634,OK
local_linear,capacity_ratio,2,stress2:column:04,7,7,7,0,OK,0.015149999999999966,0.020464791716506649,0.020602333333999998,0.73535360070104028,0.054818571428571418,0.27636619498084536,0.72363380501915464,OK
local_linear,capacity_ratio,2,stress2:column:05,7,7,7,0,OK,0.013854761904285679,0.018270256605240454,0.020978,0.66044245897062059,0.050521904767142835,0.27423277028336018,0.72576722971663976,OK
local_linear,capacity_ratio,2,stress2:column:06,7,7,7,0,OK,0.022437142857142729,0.024433745984951516,0.020729333334,1.0823861286624978,0.051042857142857119,0.43957458718163778,0.56042541281836222,OK
local_linear,capacity_ratio,3,stress2:column:01,6,6,6,0,OK,0.019786666666666581,0.023859004589462607,0.021647333333999999,0.9140463798184788,0.06578666666666666,0.30077016619375635,0.69922983380624371,OK
local_linear,capacity_ratio,3,stress2:column:02,6,6,6,0,OK,0.02512833333333327,0.029051230897617207,0.020801333333999996,1.2080155117874463,0.080658333333333318,0.31154044839342837,0.68845955160657168,OK
local_linear,capacity_ratio,3,stress2:column:03,6,6,6,0,OK,0.025819999999999992,0.030581451349905978,0.020928333333999995,1.2337341721355821,0.079050000000000009,0.32662871600252991,0.67337128399747015,OK
local_linear,capacity_ratio,3,stress2:column:04,6,6,6,0,OK,0.029379999999999944,0.032102364918076165,0.020602333333999998,1.426052065253899,0.082054999999999975,0.35805252574492663,0.64194747425507337,OK
local_linear,capacity_ratio,3,stress2:column:05,6,6,6,0,OK,0.024516111141666703,0.028534185632633751,0.020978,1.1686581724505054,0.075804444456666661,0.32341258243349108,0.67658741756650898,OK
local_linear,capacity_ratio,3,stress2:column:06,6,6,6,0,OK,0.03377666666666649,0.037841369777885311,0.020729333334,1.6294140348096198,0.075266666666666662,0.44875996457041395,0.55124003542958611,OK
local_linear,esr_ratio,1,stress2:column:01,8,8,8,0,OK,0.019741250000000071,0.029325323740753504,0.052256633334000005,0.37777500654937368,0.045812500000000006,0.43091405184174775,0.5690859481582522,OK
local_linear,esr_ratio,1,stress2:column:02,8,8,8,0,OK,0.023232499999999934,0.028343228909212124,0.052756633334000005,0.44037116343106963,0.04197625000000002,0.55346773473094724,0.44653226526905276,OK
local_linear,esr_ratio,1,stress2:column:03,8,8,8,0,OK,0.028362499999999985,0.034290710112215524,0.052486833334000005,0.54037361750355928,0.044166250000000018,0.64217586958367467,0.35782413041632533,OK
local_linear,esr_ratio,1,stress2:column:04,8,8,8,0,OK,0.024657499999999916,0.031300491210203021,0.052305033334000009,0.47141734606202274,0.045388749999999978,0.54325135633829813,0.45674864366170187,OK
local_linear,esr_ratio,1,stress2:column:05,8,8,8,0,OK,0.018154375037499892,0.025304035452086891,0.05245940000000001,0.34606524355024815,0.04432166667500001,0.40960497200210239,0.59039502799789756,OK
local_linear,esr_ratio,1,stress2:column:06,8,8,8,0,OK,0.022002500000000064,0.026333853212167815,0.052558633334000002,0.41862770403823879,0.043762499999999982,0.50277063696086999,0.49722936303913001,OK
local_linear,esr_ratio,2,stress2:column:01,7,7,7,0,OK,0.035063095238095289,0.044137269358542917,0.052256633334000005,0.6709788404084196,0.092250000000000013,0.38008775325848548,0.61991224674151457,OK
local_linear,esr_ratio,2,stress2:column:02,7,7,7,0,OK,0.044733571428571518,0.053535886854979856,0.052756633334000005,0.84792316343169927,0.083544285714285724,0.5354474102700032,0.4645525897299968,OK
local_linear,esr_ratio,2,stress2:column:03,7,7,7,0,OK,0.033069523809523806,0.042766434926811585,0.052486833334000005,0.63005370507086733,0.087617142857142866,0.37743211808952359,0.62256788191047641,OK
local_linear,esr_ratio,2,stress2:column:04,7,7,7,0,OK,0.043801428571428644,0.050769689213714393,0.052305033334000009,0.83742282108357358,0.090268571428571434,0.48523453820345713,0.51476546179654292,OK
