provisional_key,listed_segment_count,exact_row_digest,waveform_fingerprint,physical_overlap,status
batch3/11,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/12,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/13,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/14,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/15,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/16,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/17,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/18,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/19,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/2,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/20,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/21,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/22,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/23,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/24,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/25,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/26,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/27,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/28,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/29,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/3,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/30,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/4,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/5,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/6,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/7,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/8,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/9,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/1,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/10,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/11,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/12,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch4/13,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
