scope,provisional_trajectory,field,parser_class,dtype,shape,element_count,finite_count,nan_count,inf_count,minimum,maximum,unit,unit_evidence,sampling_granularity,provenance_class,content_sha256,status,reason
summary,ch2,MaxTemp,ndarray,float64,[150],150,150,0,0,24.738,32.30889,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,e0f433f8be710cdc43bf5eeabb058563b0edd684757198c7ec05c06b5ac4a99b,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch2,MinTemp,ndarray,float64,[150],150,150,0,0,19.41814,21.33695,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,36754804afd2f9c80577904134845a2290641fd80531d04af919a1954ccef08a,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch2,AvgTemp,ndarray,float64,[150],150,150,0,0,22.662511419616514,25.245074393939397,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,e2fc6fa5e98228c325cf75718c3b324276523eb2fd19587eb5fcdb5e62a34631,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch2,ChargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch2,DischargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch2,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch3,Time,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,datetime_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch3,Cycle,ndarray,uint8,[805947],805947,805947,0,0,1,100,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,3f65c488f8f4afeacd923bf743c048c89be04193a4b53e7d0b72a743a14de3d0,BLOCKED_UNEXPECTED_RAW_DTYPE,frozen raw audit observed Cycle as uint16
complete,ch3,Current,ndarray,float64,[805947],805947,805947,0,0,-4.00067,8.002823,A,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,26ba7db7280050ccccb729889e15743fc07178d8b3b4f544be47d21652cbfda2,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch3,Voltage,ndarray,float64,[805947],805947,805947,0,0,2.999839,4.200077,V,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,3bcc0f1f25d3684129b1301aa10c802805c17296c98a9c8d2fec4f3c005faf4b,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch3,Cap_ch,ndarray,float64,[805947],805947,805947,0,0,0.0,3.812966,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,6655d79695c73e27e166534267d1d746ee9d74f7a56c17a98c5d047a8d48642a,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch3,Cap_dis,ndarray,float64,[805947],805947,805947,0,0,0.0,3.51105,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,6c9fc4873ee7d10a282b8a538758cf50d1dc791baf91609cb8bcbdd93d070262,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch3,IR,ndarray,float64,[805947],805947,806,805141,0,0.0,0.0326289795339108,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,de71a7ead07ee37c0b1edc23638f68cdb238af0405ad44dbaa141c1ec42beaba,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch3,Temp,ndarray,float64,[805947],805947,805947,0,0,19.89208,37.05632,degC,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,c388b4d39efcad7ce54866a420debe25da3f17e8631b35c7beedfdb13c2db4de,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch3,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch3,Cycle,ndarray,uint8,[100],100,100,0,0,1,100,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,4228ea4d944c0bdda6df8777e2bccbbb17ed0849f3e22ca87f967c14976e09d1,BLOCKED_UNEXPECTED_RAW_DTYPE,frozen raw audit observed Cycle as uint16
summary,ch3,Cap_ch,ndarray,float64,[100],100,100,0,0,8.496409e-08,3.812966,Ah,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,d345c9c39421bb5c15f797b0df05829b97972a12d18b07a5005c24323ebf0e7d,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch3,Cap_dis,ndarray,float64,[100],100,100,0,0,0.03492653,3.51105,Ah,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,82140db06062c4cdeb16ed453bc72af157201377818452e9235aff80e23743d3,OBSERVED_NUMERIC,raw numeric array statically audited
